Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
Imperial Valley College Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2025/ivc-adopted-wdr-final.pdf
https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2013/0018ivc_wdr.pdf",Imperial Irrigation District,18.11,32.82922486,-115.505571618
Town of Discovery Bay Wastewater Treatment Facilities (Plant 1 and Plant 2),False,"https://todb.ca.gov/wastewater-services
https://todb.ca.gov/files/f0a97ecd2/July+6%2C+2022+Regular+Water+and+Wastewater+Agenda+Packet.pdf",Pacific Gas & Electric Company,37.70,37.894727015,-121.587235103
City of Westmorland Wastewater Treatment Plant,False,https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2011/0045acl.pdf,Imperial Irrigation District,18.11,33.032289305,-115.630149032
North City Water Reclamation Plant,False,"https://www.sandiego.gov/public-utilities/sustainability/pure-water-sd/phase-1-projects/university-city-eastgate-mall/north-city-water-reclamation-plant-equalization-basin
https://www.parsons.com/project/san-dev-pure-water-construction-management-program-san-diego-ca/","San Diego Gas & Electric, Metropolitan Water District of So. Cal",,32.915604788,-117.094711904
Covelo Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2023/23_0006_covelo_csd.pdf
https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/r1-2000-16-wdr-covelo.pdf",Pacific Gas & Electric Company,37.70,39.786707128,-123.246964657
Port Costa Wastewater Treatment Plant,False,https://contracostasda.specialdistrict.org/crockett-community-services-district,Pacific Gas & Electric Company,37.70,38.045084984,-122.187883212
Calera Creek Water Recycling Plant,False,"https://www.cityofpacifica.org/departments/public-works/wastewater-treatment/calera-creek-water-recycling
https://owen.mycwea.org/conf-ac",Pacific Gas & Electric Company,37.70,37.632162927,-122.49165421
Terminal Island Water Reclamation Plant,True,https://sanitation.lacity.gov/facilities/terminal-island-water-reclamation-plant,"Los Angeles Department of Water & Power, Metropolitan Water District of So. Cal",,33.745621821,-118.261330165
Saugus Water Reclamation Plant,False,https://www.lacsd.org/services/wastewater-sewage/facilities/saugus-water-reclamation-plant,Southern California Edison,26.48,34.412709878,-118.539277267
Vallejo Flood and Wastewater District Ryder Street Treatment Plant,False,"https://www.vallejowastewater.org/193/Treatment
https://www.vallejowastewater.org/237/Biosolids",Pacific Gas & Electric Company,37.70,38.091701907,-122.250311689
Niland Sanitary District Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2005/05_0030niland.pdf
https://www.imperialcagov.us/Data/Sites/1/media/county-documents/departments/planning/general-plan/elements/conservation-element.pdf",Imperial Irrigation District,18.11,33.227353854,-115.528580633
Red Bluff Wastewater Treatment Plant,False,"https://www.cityofredbluff.org/departments/public_works/wastewater_treatment_plant.php
https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/amador/r5-2015-0129.pdf",Pacific Gas & Electric Company,37.70,40.162280149,-122.22139149
City of Brawley Wastewater Treatment Plant,False,https://www.brawley-ca.gov/departments/public-works/wastewater-treatment-plant,Imperial Irrigation District,18.11,33.017364883,-115.509241632
City of Burbank Water Reclamation Plant (BWRP),False,"https://www.burbankca.gov/web/public-works/water-reclamation-plant
https://www.waterboards.ca.gov/rwqcb4/board_decisions/adopted_orders/orders_id.html?query=Burbank","Burbank Water & Power, Metropolitan Water District of So. Cal",,34.182226866,-118.31806821
Simi Valley Water Quality Control Plant,False,"https://www.simivalley.org/departments/public-works/sanitation-services
https://www.simivalley.org/departments/public-works/sanitation-services/operations-collections-treatment","Southern California Edison, Metropolitan Water District of So. Cal",,34.285832175,-118.81518279
College of the Redwoods Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2016/161215_0043_College_of_the_Redwoods_CDO.pdf,Pacific Gas & Electric Company,37.70,40.705045022,-124.207843861
Henry N. Wochholz Regional Water Reclamation Facility (WRWRF),False,"https://cms9files1.revize.com/yucaipavwd/Services/sewer/Henry%20N.%20Wochholz%20Regional%20Water%20Reclamation%20Facility.pdf
https://files.ceqanet.lci.ca.gov/269405-1/attachment/rYoj5ousHGCK9CRYDeUNLey6AXQvX6ZMdvxd4YM6CGpvjFdXAjtXcdo86_UBi_Z984Ia62nyrE3k1m-P0",Southern California Edison,26.48,34.003984917,-117.063120982
McCabe Union School District Wastewater Treatment Plant,False,https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2007/07_0035mccabe.pdf,Imperial Irrigation District,18.11,32.752474846,-115.594961628
Cascade Shores Wastewater Treatment Plant,False,"https://www.nevadacountyca.gov/2704/Sanitation-Districts
https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/nevada/r5-2015-0010.pdf",Pacific Gas & Electric Company,37.70,39.259945183,-120.906833165
